epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,297.631,0.29903,0.92814,1,0.17125,0.000553757,0.000553757,0.000553757
2,641.989,0.23288,0.93467,1,0.16406,0.00107281,0.00107281,0.00107281
3,980.436,0.22441,0.90101,1,0.2359,0.00155519,0.00155519,0.00155519
4,1304.07,0.22383,0.91809,1,0.18298,0.00150197,0.00150197,0.00150197
5,1642.67,0.16983,0.94271,1,0.1494,0.00144696,0.00144696,0.00144696
6,1983.07,0.15643,0.95829,1,0.12604,0.00139195,0.00139195,0.00139195
7,2350.3,0.13637,0.96482,1,0.08937,0.00133693,0.00133693,0.00133693
8,2697.76,0.12542,0.96382,1,0.14471,0.00128192,0.00128192,0.00128192
9,3112.68,0.10792,0.94472,1,0.13832,0.00122691,0.00122691,0.00122691
10,3571.03,0.10754,0.95075,1,0.11386,0.0011719,0.0011719,0.0011719
11,3989.35,0.09811,0.9598,1,0.09673,0.00111689,0.00111689,0.00111689
12,4397.43,0.0893,0.93518,1,0.14199,0.00106188,0.00106188,0.00106188
13,4788.55,0.09044,0.98191,1,0.0542,0.00100687,0.00100687,0.00100687
14,5186.94,0.07369,0.96332,1,0.10098,0.000951857,0.000951857,0.000951857
15,5526.68,0.07639,0.97538,1,0.07413,0.000896846,0.000896846,0.000896846
16,5862.13,0.07195,0.97236,1,0.07596,0.000841835,0.000841835,0.000841835
17,6219.12,0.0652,0.98392,1,0.04928,0.000786824,0.000786824,0.000786824
18,6620.57,0.05604,0.97839,1,0.05844,0.000731813,0.000731813,0.000731813
19,6999.26,0.04816,0.9809,1,0.06075,0.000676802,0.000676802,0.000676802
20,7440.11,0.04403,0.98442,1,0.0562,0.000621791,0.000621791,0.000621791
21,7915.67,0.03758,0.98392,1,0.0469,0.00056678,0.00056678,0.00056678
22,8319.86,0.04072,0.98844,1,0.03324,0.000511769,0.000511769,0.000511769
23,8635.85,0.03463,0.98392,1,0.04413,0.000456758,0.000456758,0.000456758
24,9014,0.02928,0.98744,1,0.04236,0.000401747,0.000401747,0.000401747
25,9336.65,0.02672,0.98342,1,0.06219,0.000346736,0.000346736,0.000346736
26,9661.56,0.02134,0.98995,1,0.03345,0.000291725,0.000291725,0.000291725
27,9989.04,0.02258,0.98643,1,0.04287,0.000236714,0.000236714,0.000236714
28,10330.3,0.01786,0.98894,1,0.03031,0.000181703,0.000181703,0.000181703
29,10697.2,0.01951,0.98643,1,0.03379,0.000126692,0.000126692,0.000126692
30,11024.6,0.01907,0.98744,1,0.03343,7.1681e-05,7.1681e-05,7.1681e-05
